Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    384.683,   142.41,    379.885,    24.90,    396.607,   -95.75,          0,     0.00, 0.00129085,    -1.94,    384.683,   -37.59,    379.885,  -155.10,    396.607,    84.25,          0,     0.00, 0.00129085,   178.06
Line.LINE1,    384.683,   -37.59,    379.885,  -155.10,    396.607,    84.25,          0,     0.00, 0.00129085,   178.06,    384.696,   142.41,    379.895,    24.90,    396.616,   -95.76,          0,     0.00, 2.06823E-007,  -120.13
Transformer.T1,    384.696,   -37.59,    379.895,  -155.10,    396.616,    84.24,          0,     0.00, 2.06839E-007,    59.87,    1214.25,   113.36,    1106.05,    -5.38,     1160.1,  -126.37,    102.758,   -48.41, 3.12526E-006,   122.13
Line.LINE2,    1214.25,   -66.64,    1106.05,   174.62,     1160.1,    53.63,          0,     0.00,    102.758,   -48.41,    1214.25,   113.36,    1106.05,    -5.38,     1160.1,  -126.37,          0,     0.00,    102.758,   131.59
Line.LINE3,    123.265,   -67.22,     111.48,   174.16,    117.367,    53.10,          0,     0.00,    11.1728,   -49.16,    123.266,   112.78,    111.481,    -5.84,    117.368,  -126.90,          0,     0.00,    11.1729,   130.84
Line.LINE4,    123.266,   -67.22,    111.481,   174.16,    117.368,    53.10,          0,     0.00,    11.1729,   -49.16,    123.267,   112.78,    111.482,    -5.84,    117.369,  -126.90,          0,     0.00,     11.173,   130.84
Load.LOAD1,    1091.05,   -66.57,    994.511,   174.67,    1042.77,    53.69,    91.6769,   131.75,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD2,    123.274,   -67.22,    111.475,   174.16,    117.372,    53.10,    11.1836,   130.91,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
