hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 0.07000, -1.13903, -2.07302, -1.08808, -1.96964, -1.08263, -1.97291
0, 0.07100, -68.0265, 0.689675, -68.3144, 0.670191, -70.0093, 0.0683578
0, 0.07200, -28.3795, -0.0989243, -26.9557, -0.0869058, -26.2271, -0.0898729
0, 0.07300, -7.78346, -0.0197718, -5.79567, -0.0135606, -3.33545, -0.00833229
0, 0.07400, 3.86808, 0.00750963, 6.16238, 0.0111041, 9.66933, 0.0185175
0, 0.07500, 8.84499, 0.012631, 11.2289, 0.0149486, 15.2609, 0.0215703
0, 0.07600, 9.02555, 0.00876515, 11.341, 0.0104174, 15.5066, 0.0150728
0, 0.07700, 5.83874, 0.00428874, 7.97492, 0.00522037, 11.9916, 0.00858317
0, 0.07800, 0.382809, 0.000190218, 2.26642, 0.000956279, 5.93813, 0.00283905
0, 0.07900, -6.50074, -0.00213125, -4.91372, -0.00125042, -1.71541, -0.000524666
0, 0.08000, -14.1763, -0.00252493, -12.9077, -0.00167971, -10.2582, -0.00165146
0, 0.08100, -22.1706, -0.00183456, -21.2253, -0.000881224, -19.1597, -0.00124742
0, 0.08200, -30.1398, -0.000446954, -29.5105, 0.000618602, -28.0333, 8.44035E-005
0, 0.08300, -37.8397, 0.00122101, -37.5106, 0.00236802, -36.6049, 0.00182516
0, 0.08400, -45.1052, 0.00286786, -45.0552, 0.0040552, -44.6896, 0.00360012
0, 0.08500, -51.8337, 0.00330714, -52.0384, 0.00544722, -52.1722, 0.00444818
0, 0.08600, -57.9692, 0.00437983, -58.4026, 0.00658388, -58.9894, 0.00565469
0, 0.08700, -63.4886, 0.0051921, -64.1248, 0.00731502, -65.1171, 0.00653134
0, 0.08800, -68.3967, 0.00571006, -69.2106, 0.00769922, -70.5609, 0.0070669
0, 0.08900, -72.7163, 0.00596072, -73.6842, 0.00778469, -75.3466, 0.00729389
0, 0.09000, -76.4825, 0.00598657, -77.5824, 0.00762807, -79.5135, 0.00726228
0, 0.09100, -79.7376, 0.00583447, -80.9493, 0.0072875, -83.1094, 0.00702754
0, 0.09200, -82.5285, 0.00317709, -83.8342, 0.00552377, -86.1871, 0.00480446
0, 0.09300, -84.9035, 0.00299559, -86.2872, 0.00518909, -88.7997, 0.00450523
0, 0.09400, -86.9076, 0.00284796, -88.3555, 0.00474586, -90.9994, 0.00418064
0, 0.09500, -88.5862, 0.0026609, -90.0862, 0.00427119, -92.8371, 0.0038186
0, 0.09600, -89.9817, 0.00244424, -91.5234, 0.00379443, -94.3602, 0.00343805
0, 0.09700, -91.133, 0.00221226, -92.7079, 0.00333236, -95.6124, 0.00305604
0, 0.09800, -92.0756, 0.00197654, -93.6762, 0.00289607, -96.6333, 0.0026854
0, 0.09900, -92.8408, 0.00174573, -94.4613, 0.00249262, -97.4583, 0.0023351
0, 0.10000, -93.4569, 0.0015259, -95.0921, 0.0021259, -98.1185, 0.00201088
0, 0.10100, -93.9481, 0.00132107, -95.5941, 0.00179743, -98.6415, 0.00171593
0, 0.10200, -94.3357, 0.00113358, -95.9894, 0.00150693, -99.0508, 0.00145155
0, 0.10300, -94.6381, 0.000964537, -96.2968, 0.00125292, -99.367, 0.00121756
0, 0.10400, -94.8708, 0.000814075, -96.5326, 0.00103307, -99.6073, 0.0010128
0, 0.10500, -95.047, 0.000685175, -96.7105, 0.000865075, -99.7807, 0.000989733
0, 0.10600, -95.1738, 0.000687645, -96.8382, 0.000750447, -99.9004, 0.000530654
0, 0.10700, -95.261, 4.05307E-005, -96.9132, -5.51555E-005, -99.9215, 1.91047E-005
0, 0.10800, -95.269, -2.45662E-005, -96.9133, 7.08017E-006, -99.9215, 2.26256E-006
0, 0.10900, -95.269, -2.2085E-006, -96.9133, 1.38239E-006, -99.9215, 2.04004E-007
0, 0.11000, -95.269, -2.3874E-007, -96.9133, 1.7994E-007, -99.9215, -1.00352E-008
0, 0.11100, -95.269, -2.4799E-008, -96.9133, 2.12967E-008, -99.9215, -4.53847E-009
0, 0.11200, -95.269, -2.45474E-009, -96.9133, 2.3887E-009, -99.9215, -8.19528E-010
0, 0.11300, -95.269, -2.30004E-010, -96.9133, 2.70666E-010, -99.9215, -1.17499E-010
0, 0.11400, -95.269, -2.00998E-011, -96.9133, 4.5291E-011, -99.9215, -1.50394E-011
0, 0.11500, -95.269, -1.56433E-012, -96.9133, 2.24318E-011, -99.9215, -1.77533E-012
0, 0.11600, -95.269, -1.23691E-013, -96.9133, 2.0229E-011, -99.9215, -1.96451E-013
0, 0.11700, -95.269, 1.09139E-014, -96.9133, 2.00744E-011, -99.9215, -3.63798E-014
0, 0.11800, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.11900, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
0, 0.12000, -95.269, 1.09139E-014, -96.9133, 2.0038E-011, -99.9215, 0
